or_code;or_siren;or_nom;or_type;or_activ;or_l331;or_siret;or_nometab;or_ad_code;or_nomvoie;or_numero;or_rep;or_local;or_postal;or_commune;or_telfixe;or_mail;or_comment;or_creadat;or_majdate;or_majsrc;or_abddate;or_abdsrc
OR033001000322;381976083;BJKR;Operateur;;BJKR;38197608300042;;;3 BIS RUE DE LA TUILERIE BP 80456 37550 SAINT AVERTIN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000323;480234210;BJT Partners;Operateur;;BJTP;48023421000023;;;26 RUE FRIANT  75014 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000324;596120097;BLOIS SPECIALITES AUTO INDUSTRIE;Operateur;;BSAI;59612009700016;;;42 RUE ANDRE BOULLE  41000 BLOIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000325; ;Blue face Ltd;Operateur;;BLFA; ;;;10/11 EXCHANGE PLACE   IFSC DUBLIN 1   IRLANDE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000326;509072500;BLUE NETWORKS TECHNOLOGIES;Operateur;;BLNT;50907250000028;;;23 ALLEE DE TURING  63000 CLERMONT-FERRAND;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000327;818530479;Blue radar;Operateur;;BLRA;81853047900026;;;503 RUE DU PUITS JAPIE  79410 ECHIRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000328;409966694;Bluecom;Operateur;;BLOM;40996669400047;;;305 RUE JURIEN DE LA GRAVIERE  29200 BREST;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000329;797914405;Blue-Comm;Operateur;;BLUE;79791440500015;;;3 AVENUE LAENNEC  72000 LE MANS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000330;397800574;BLUEGIX;Operateur;;BLUG;39780057400030;;;IMMEUBLE COACH 8 T PLACE HENRI D ASTIER  94227 CHARENTON LE PONT  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000331;487529232;BOLLORE TELECOM;Operateur;;BOLL;48752923200018;;;26 RUE DE BERRI  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000332;243300316;Bordeaux métropole;Operateur;;BOME;24330031600011;;;ESPLANADE CHARLES DE GAULLE   33076 BORDEAUX  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000333; ;Boss informatique S.A.M.;Operateur;;BSAM; ;;;LE SUFFREN 7 RUE SUFFREN REYMOND  98000 MONACO   MONACO;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000334;534886775;BOUNOUA KHERDINE;Operateur;;BOUN;53488677500012;;;128 AVENUE GENERAL DE GAULLE  92200 NEUILLY SUR SEINE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000335;789069499;Bouteiller Mehdi;Operateur;;BOUT;78906949900018;;;DOMAINE LA GARENNE  34650 DIO ET VALQUIERES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000336;381762038;Bouygues E&S FM France;Operateur;;EXMM;38176203800325;;;19 RUE STEPHENSON  78180 MONTIGNY-LE-BRETONNEUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000337;397480930;Bouygues Telecom;Operateur;;BOUY;39748093003464;;;LE TECHNOPÔLE 13-15 AVENUE DU MARÉCHAL JUIN  92360 MEUDON  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000338;479251811;Bozon image et son;Operateur;;BISN;47925181100010;;;RESIDENCE DU GRAND PONT 501 AVENUE DE L HELIPORT  83310 GRIMAUD;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000339;538517517;Breizh solutions;Operateur;;BRSO;538517517;;;BAT J ZONE DE KERLUHERNE 1 RUE MARIE CURIE  56890 PLESCOP;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000340;821039971;Breizh voip;Operateur;;BRVO;82103997100014;;;4 RUE DESCARTES  29480 LE RELECQ KERHUON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000341;502068075;Breizhtux;Operateur;;BREI;50206807500014;;;C/O QUENTIN DUMONT 13 RUE PER JAKEZ HÉLIAS  22000 SAINT BRIEUC;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000342;483400628;Bretagne Telecom;Operateur;;BRET;48340062800028;;;ZI DE BELLEVUE RUE BLAISE PASCAL  35220 CHATEAUBOURG;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000343;431911932;Britel;Operateur;;BRIT;43191193200066;;;5 ALLEE ABBE GREGOIRE  29000 QUIMPER;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000344; ;Broadband Hosting BV;Operateur;;BRBV; ;;;LAAN COPES VAN CATTENBURCH 73    2585 EW LA HAYE   PAYS-BAS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000345;523277457;BROKER TELECOM;Operateur;;BROK;52327745700017;;;PARC INNOLIN 3 RUE DU GOLF  33700 MERIGNAC;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000346;504794587;Bryk Emmanuel;Operateur;;WEER;50479458700031;;;189 ROUTE DE SERT GONTIER  38350 NANTES EN RATIER;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000347;452456585;BSO NETWORK SOLUTIONS;Operateur;;BSOC;45245658500044;;;CHALLENGE 92 81 AVENUE FRANCOIS ARAGO  92000 NANTERRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000348;702032145;BT France;Operateur;;BTSI;70203214500162;;;TOUR ARIANE 5 PLACE DE LA PYRAMIDE BP 22 92088 PARIS LA DEFENSE  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000349;538223025;Buddy media;Operateur;;BUDD;53822302500023;;;162 RUE ETCHENIQUE  33200 BORDEAUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000350;422716878;Budget télécom;Operateur;;BUDG;42271687800091;;;52 RUE D ODIN CS 40900 34965 MONTPELLIER;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000351;807460811;Buffello Alain;Operateur;;BUFFE;80746081100019;;;19 GRAND RUE  55220 LES SOUHESMES-RAMPONT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000352;398445627;BUREAUTIQUE, FOURNITURES, INFORMATIQUE;Operateur;;BBFI;39844562700019;;;11 BIS AVENUE DE LA LIBERATION  29000 QUIMPER;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000353;382198794;BUSINESS & DECISION INTERACTIVE EOLAS;Operateur;;BUSI;38219879400010;;;8 RUE VOLTAIRE  38000 GRENOBLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000354;442615340;Business Support Services - B2S;Operateur;;B2SB;44261534000027;;;1 AVENUE DU GENERAL DE GAULLE  92365 GENNEVILLIERS  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000355;823519632;BusinessIn.fr;Operateur;;BSNS;82351963200017;;;3 RUE DE L EGALITE  94270 LE KREMLIN BICETRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000356;750642845;Byb solutions;Operateur;;BYBS;75064284500010;;;1 SQUARE DE L ERMITAGE  85300 CHALLANS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000357;524787629;BYO NETWORKS;Operateur;;BYON;52478762900020;;;86 RUE DE PARIS  91400 ORSAY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000358;484199500;C ISI;Operateur;;CISI;48419950000030;;;4 RUE DU GENERAL DE GAULLE  68800 THANN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000359;343924767;C.G.I.S (CONSEILS GESTION INFORMATIQUE SERVICES);Operateur;;CGIS;34392476700019;;;24 AVENUE JOANNES MASSET  69009 LYON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000360;483687935;C@P Connexion;Operateur;;DEDI;48368793500013;;;40 QUAI DU POINT DU JOUR  92100 BOULOGNE BILLANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000361;449600642;C2IP;Operateur;;C2IP;44960064200036;;;4 RUE DES FOSSES  71390 BUXY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000362;517756607;CABALLERO SYLVAIN;Operateur;;CABA;51775660700019;;;APP. 16 29 RUE ARTHUR RIMBAUD  76120 LE GRAND-QUEVILLY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000363;322270513;CABINET CONSEIL EN INFORMATIQUE FALGON;Operateur;;FALG;32227051300029;;;1 RUE GIACOMO MEYERBEER  34500 BEZIERS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000364;452661531;Cachan réseaux à Normale sup (CRANS);Operateur;;CRAN;452661531;;;61 AVENUE DU PRESIDENT WILSON  94230 CACHAN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000365;494885841;Caciis;Operateur;;CACI;49488584100036;;;29 RUE TAITBOUT  75009 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000366;478688039;CAEN.COM;Operateur;;CAEN;47868803900054;;;30 AVENUE EDOUARD BELIN  925566 RUEIL-MALMAISON  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000367;790714398;CAFAI - Champagne Ardenne fournisseur associatif d accès à internet;Operateur;;CAFA;79071439800019;;;122 BIS RUE DU BARBATRE  51100 REIMS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000368;478715766;Calade technologies;Operateur;;CALA;47871576600026;;;HOTEL TECHNOLOGIQUE 45 RUE FREDERIC JOLIOT-CURIE  13382 MARSEILLE  13;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000369; ;Calientemobil entertainment SL;Operateur;;CALI; ;;;P4 PTA1 101 PASEO DE GRACIA  08008 BARCELONE   ESPAGNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000370;831210026;Call 2 Win;Operateur;;CL2W;83121002600017;;;CHEZ REGUS 112 AVENUE KLEBER  75016 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000371;491456356;CALLIPSE TELECOM;Operateur;;CALT;49145635600022;;;141 AVENUE DE VERDUN  92130 ISSY LES MOULINEAUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000372;528684079;Callr;Operateur;;THEC;52868407900015;;;128 RUE LA BOETIE  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000373; ;CallServices Ltd;Operateur;;CLSV; ;;;109 VERNON HOUSE FRIAR LANE  NG1 6DQ NOTTINGHAM   ROYAUME-UNI;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000374;512338633;CAMERA-CONTACT;Operateur;;CACO;51233863300013;;;9 AVENUE CHARLES DE GAULLE  23006 GUERET  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000375;320390511;Camping caravaning les dunes;Operateur;;CCLD;32039051100022;;;50 AVENUE DES DUNES  85470 BRETIGNOLLES-SUR-MER;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000376;351555792;Canal+ Telecom;Operateur;;MIAS;35155579200081;;;6 EME ETAGE - TOUR SECID PLACE DE LA RENOVATION  97110 POINTE A PITRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000377;389334640;Cap antigone;Operateur;;CAGO;38933464000072;;;BATIMENT C 22 RUE LAVOISIER  92000 NANTERRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000378;438632291;CAP TELECOM;Operateur;;CAPT;43863229100011;;;LE CARRE SAUMATY 2 ALLEE SACOMAN  13016 MARSEILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000379;539179515;Capacom;Operateur;;CPOM;53917951500017;;;20 RUE DE LA BANQUE  75002 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000380;509046520;CAPAIX CONNECTIC;Operateur;;CAPA;50904652000011;;;163 QUAI DU DOCTEUR DERVAUX  92601 ASNIÈRES-SUR-SEINE  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000381;504297441;Capecom;Operateur;;CAPE;50429744100025;;;27 RUE DES GARENNES  57155 MARLY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000382;411907595;CAPINFO;Operateur;;CAPI;41190759500028;;;2 RUE ETTORE BUGATTI  67201 ECKBOLSHEIM;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000383;529193377;CAPS TRES HAUT DEBIT;Operateur;;CAPS;52919337700015;;;PARC ORSAY UNIVERSITE 2 RUE JEAN ROSTAND  91893 ORSAY  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000384; ;Carbodebit;Operateur;;CABO; ;;;MAIRIE LA BAUTIE  81570 CARBES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000385;793230780;CARIB SAT;Operateur;;CARI;79323078000017;;;IMMEUBLE SCI LE ROCHER - ZI DE JARRY 1406 RUE HENRI BECQUEREL  97122 BAIE-MAHAULT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000386;442854311;CARIBBEAN TELECOM MARTINIQUE;Operateur;;CARM;44285431100010;;;23 RUE DU FOUR A CHAUX  97232 LE LAMENTIN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000387;440091114;CARREFOUR ORGANISATION ET SYSTEMES GROUPE;Operateur;;CAFO;44009111400031;;;33 AVENUE EMILE ZOLA  92100 BOULOGNE BILLANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000388;505400325;CARRIBEAN CABLE COMMUNICATIONS (ANGUILLA) LIMITED;Operateur;;CARC;50540032500021;;;CABINET DE MYRNA R. WALWYN WALL BLAKE THE VALLEY 99132 ANGUILLE   ROYAUME-UNI;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000389;523941037;Cassidian cybersecurity SAS;Operateur;;CASS;52394103700013;;;ZAC DE LA CLEF SAINT PIERRE 1 BOULEVARD JEAN MOULIN  78990 ELANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000390;304827223;Cassiopae real estate;Operateur;;SNED;30482722300088;;;PARC DU PERRAY BAT. P18 5 RUE DE LA RAINIERE  44300 NANTES  CEDEX 3;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000391;818094690;Castle IT;Operateur;;CAIT;81809469000018;;;17 RUE DES GRANGES GALANDS  37550 SAINT AVERTIN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000392;401923859;CAT;Operateur;;AKEO;40192385900011;;;66 GRANDE RUE  27940 PORT-MORT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000393;818106767;Caux telecom;Operateur;;CAUX;81810676700010;;;955 RUE DES RENARDS  76190 SAINTE-MARIE-DES-CHAMPS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000394;414345637;CB SYSTEM;Operateur;;CBSY;41434563700055;;;RUE SAINT GERY  46000 CAHORS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000395;394623151;CC MEDIA;Operateur;;CCMD;39462315100047;;;25 RUE SAINTE  13001 MARSEILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000396;130021645;CCI de région Normandie;Operateur;;CCID;13002164500010;;;1 RUE RENE CASSIN  14280 SAINT CONTEST;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000397;800619561;CCS;Operateur;;COCS;80061956100015;;;IMMEUBLE LE GALLIENI 2 RUE BENOIT MALON  92150 SURESNES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000398;423078310;CD SYS;Operateur;;CDSY;42307831000012;;;24 RUE BERNARD PALISSY  45800 ST JEAN DE BRAYE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000399;789270378;CDA;Operateur;;CDAC;78927037800027;;;12 BOULEVARD D ATHENES  13001 MARSEILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000400;820580892;C-doki France;Operateur;;CDOK;82058089200017;;;4 BOULEVARD MICHAEL FARADAY  77716 MARNE LA VALLEE  CEDEX 4;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000401;797828290;CDX Telecom;Operateur;;CDXT;79782829000016;;;1 RUE ALBERT EINSTEIN  77420 CHAMPS SUR MARNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000402;815088208;Cedetel;Operateur;;CEDE;81508820800013;;;10 RUE PERGOLESE  75116 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000403;790173066;Cegedim IT;Operateur;;CGIT;79017306600016;;;137 RUE D AGUESSEAU  92100 BOULOGNE BILLANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000404;414285429;CEI - Catalogne environnement informatique;Operateur;;CEIC;41428542900042;;;ZONE LE MOLINAS 19 AVENUE DU 19 MARS 1962  66330 CABESTANY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000405;502901952;CELEA CONSULTING;Operateur;;CELE;50290195200015;;;149 AVENUE DU MAINE  75014 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000406;439905837;Celeste;Operateur;;ADSL;43990583700027;;;20 RUE ALBERT EINSTEIN  77420 CHAMPS SUR MARNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000407;798844056;Céliéno;Operateur;;CENO;79884405600019;;;12/14 RUE DU PRESIDENT KENNEDY  28110 LUCE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000408;811289925;Cello ;Operateur;;CELL;811289925;;;LOT 236 100 AVENUE DU GENERAL LECLERC  93500 PANTIN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000409;384585824;Celya;Operateur;;CELY;38458582400053;;;298 ROUTE DE VANNES  44700 ORVAULT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000410;509610531;Centrale réseaux;Operateur;;CERE;50961053100014;;;ECOLE CENTRALE GRANDE VOIE DES VIGNES 2  AVENUE SULLY PRUDHOMME  92290 CHATENAY MALABRY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000411;392973822;Centraphone;Operateur;;CENE;39297382200027;;;37 RUE NICEPHORE NIEPCE  45700 VILLEMANDEUR;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000412;314504432;Centre de formation et de recherche à la relation d aide et de soins;Operateur;;CEFR;31450443200027;;;ALLEE PHYTOLIA BP 80012 49120 CHEMILLE-MELAY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000413;383599990;Centre de ressources informatiques de Haute-Normandie;Operateur;;CRIH;38359999000025;;;745 AVENUE DE L UNIVERSITE  76800 ST ETIENNE DU ROUVRAY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000414;827489816;Centrex France;Operateur;;CENC;82748981600013;;;88 TER AVENUE DU GENERAL LECLERC  92100 BOULOGNE-BILLANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000415;808558415;Ceriz;Operateur;;CERI;80855841500010;;;16 RUE AMPERE  95300 PONTOISE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000416;337958698;CETSI;Operateur;;CETS;33795869800108;;;ENTREE 105 93 RUE VEUVE LACROIX  92000 NANTERRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000417;805113156;CG communications ;Operateur;;CGCO;80511315600022;;;113 RUE DE ROME  75017 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000418;424235018;Cham;Operateur;;CHAM;42423501800019;;;110 CHEMIN DES CHOSALETS  74400 CHAMONIX-MONT-BLANC;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000419; ;CHAMBRE DE COMMERCE ET D INDUSTRIE D AJACCIO ET DE LA CORSE DU SUD;Operateur;;R073; ;;;HOTEL CONSULAIRE QUAI L HERMINIER BP 253 20180 AJACCIO  CEDEX 1;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000420;183300029;CHAMBRE DE COMMERCE ET D INDUSTRIE DE BORDEAUX;Operateur;;R074;18330002900034;;;12 PLACE DE LA BOURSE  33076 BORDEAUX  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000421;182900050;CHAMBRE DE COMMERCE ET D INDUSTRIE DE BREST;Operateur;;R075;18290005000085;;;1 PLACE DU 19ÈME RI BP 92028 29220 BREST  CEDEX 2;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000422;130017270;Chambre de commerce et d industrie de Paris Ile-de-France;Operateur;;CCIP;13001727000013;;;27 AVENUE DE FRIEDLAND  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000423;180600017;Chambre de commerce et d industrie Nice Côte d Azur;Operateur;;CNCA;18060001700016;;;20 BOULEVARD CARABACEL CS 1259 06005 NICE  CEDEX 1;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000474;820983740;Comcloud;Operateur;;COCL;82098374000029;;;134 AVENUE DE VERDUN  92130 ISSY-LES-MOULINEAUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000424;130008105;Chambre de commerce industrie Nantes Saint-Nazaire;Operateur;;CCIN;13000810500012;;;16 QUAI ERNEST RENAUD BP 90157 44105 NANTES  CEDEX 04;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000425;815389481;Chartres métropole innovations numériques;Operateur;;CMIN;81538948100012;;;HOTEL DE VILLE PLACE DES HALLES  28000 CHARTRES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000426; ;Chaul hertz;Operateur;;CHHE; ;;;LIEU DIT CHAULEY 7 RUE DE VAULVRY  71620 ST MAURICE EN RIVIERE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000427;520097247;CHER HAUT DEBIT;Operateur;;CHDP;52009724700016;;;ZA DE L ESTUAIRE  50220 POILLEY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000428;535269559;CHEYNET JEROME;Operateur;;CHEY;53526955900014;;;150 PROMENADE MARIE CURIE  74190 PASSY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000429;267411080;CHI Pays du Mont-Blanc;Operateur;;CHIM;26741108000018;;;380 RUE DE L HOPITAL  74703 SALLANCHES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000430;512242249;Chimchai;Operateur;;CHAI;51224224900039;;;57 PLACE JEAN JAURES  13005 MARSEILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000431;821320041;China mobile international France (CMI France);Operateur;;CMIF;82132004100014;;;34 AVENUE DES CHAMPS-ELYSEES  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000432;794328757;China Telecom (France) Limited;Operateur;;CTFL;79432875700032;;;4° ETG, BAT. OPEN 21 RUE CAMILLE DESMOULINS  92130 ISSY LES MOULINEAUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000433; ;CHINA UNICOM (EUROPE) OPERATIONS LIMITED;Operateur;;CHIN; ;;;HILL HOUSE 1 LITTLE NEW STREET  EC4A 3TR LONDON   ROYAUME-UNI;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000434;482922812;Chmurtz;Operateur;;CHMU;48292281200011;;;1 RUE JACOB MAYER  67200 STRASBOURG;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000435;798703203;Chrysalead-group;Operateur;;CHRY;79870320300017;;;23 RUE DE REIMS  67000 STRASBOURG;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000436;390072551;Circet;Operateur;;CIRC;39007255100018;;;14 AVENUE LION  83210 SOLLIES-PONT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000437;383158326;Cirrus;Operateur;;CIRR;38315832600033;;;SAVANNA 4 RUE JULES THIREL  97460 SAINT-PAUL;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000438;489469809;CIRTEL;Operateur;;CIRT;48946980900029;;;BAT. SIME 31 DE L EUROPE  68700 CERNAY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000439;399977586;CISSE Béatrice;Operateur;;CISS;39997758600029;;;23 RUE JEAN DE LA FONTAINE  75016 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000440;819318643;CIT;Operateur;;CITC;81931864300015;;;1 RUE DU CHEMIN VIEUX (1E)  77650 SAINT-LOUP-DE-NAUD;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000441;438383986;CITYPASSENGER;Operateur;;CITY;43838398600033;;;1 AVENUE DE L ATLANTIQUE BP 903 91976 LES ULIS COURTABOEUF  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000442;513435321;CL Systems;Operateur;;CLSY;51343532100023;;;6 RUE SIMONE BIGOT  93360 NEUILLY PLAISANCE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000443; ;Clemcom Ltd;Operateur;;CLEM; ;;;70 AVENUE HOCHAR  J0R1R6 SAINT-SAUVEUR QC   CANADA;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000444;808581722;Clementier;Operateur;;CLER;80858172200010;;;5 RUE JACQUES MONOD BP 558 76130 MONT-SAINT-AIGNAN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000445;353917404;Clemessy télécommunicaitons;Operateur;;CLMY;35391740400082;;;8 AVENUE DE FRANCE  68310 WITTELSHEIM;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000446;491352324;Clermont Communauté networks;Operateur;;CCNE;49135232400025;;;30 AVENUE EDOUARD BELIN  92566 RUEIL MALMAISON  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000447;803304963;Clever twist;Operateur;;CLEST;80330496300017;;;238 AVENUE DES POILUS  13013 MARSEILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000448;520385584;CLEVERNETWORK;Operateur;;CLEV;52038558400013;;;7 RUE PAUL LELONG  75002 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000449;812943801;Clicspot;Operateur;;CLIC;81294380100017;;;10 RUE DE PENTHIEVRE  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000450;819870270;Cloud normand;Operateur;;CLND;81987027000017;;;50 AVENUE DE LA PLAGE  14150 OUISTREHAM;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000451; ;Cloud9 mobile communications;Operateur;;CLO9; ;;;CROCKFORD LANE-CHINEHAM-BASINGSTOKE PINEWOOD-CHINEHAM BUSINESS PARK-  RG24 6AL HAMPSHIRE   ROYAUME-UNI;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000452;753919026;Cloudata;Operateur;;CLTA;75391902600017;;;LA BOURSIDIERE BP 121 92350 LE PLESSIS-ROBINSON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000453;800746927;Cloudi-Fi;Operateur;;CLFI;80074692700014;;;4 ALLEE DU GRAND CHARIOT  95490 VAUREAL;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000454;753563501;CLOUD-IT;Operateur;;CLIT;75356350100018;;;CENTRE FLEMING AVENUE FLEMING  62400 BETHUNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000455; ;Club informatique;Operateur;;R024; ;;;MAIRIE  03240 LE MONTET;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000456;500537436;Club telecom;Operateur;;REAU;50053743600023;;;18 AVENUE GUSTAVE EIFFEL  33600 PESSAC;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000457; ;CLX NETWORKS AB;Operateur;;CLXN; ;;;KISTA SCIENCE TOWER PO BOX 1206 164 28 KISTA   SUEDE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000458;802946715;CM Telecom France;Operateur;;CMTF;80294671500017;;;76/78 RUE SAINT LAZARE  75009 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000459;333264810;CMRE Logiciel;Operateur;;CMRE;33326481000016;;;259 ROUTE DES SOUDANIERES CS 10002 01250 CEYZERIAT;;;;;;;;;2017-11-19 22:30:50;;;;
